"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.645995458E0,1.245410156E-1,3.766168213E-1,9.815987549E0,9.823999300E0
2.656040458E0,1.305285645E-1,3.748205566E-1,9.791588287E0,9.799629041E0
2.666086458E0,1.228944397E-1,3.715274048E-1,9.774523773E0,9.782354044E0
2.676131458E0,1.074765015E-1,3.864962769E-1,9.786498871E0,9.794717491E0
2.686177458E0,1.103205872E-1,3.686833191E-1,9.773925018E0,9.781498264E0
2.696222458E0,1.163081360E-1,3.814068604E-1,9.794582062E0,9.802695371E0
2.706268458E0,1.257385254E-1,3.643423462E-1,9.780960388E0,9.788551560E0
2.716313458E0,1.213975525E-1,3.649411011E-1,9.772577820E0,9.780142975E0
2.726358458E0,1.182540894E-1,3.779640198E-1,9.794731750E0,9.802734868E0
2.736404458E0,1.148112488E-1,3.900888062E-1,9.791139221E0,9.799579488E0
2.746449458E0,1.052311707E-1,3.779640198E-1,9.802515564E0,9.810363998E0
2.756495458E0,1.207987976E-1,3.724255371E-1,9.797126770E0,9.804947021E0
2.766540458E0,1.146615601E-1,3.716770935E-1,9.781559143E0,9.789289576E0
2.776586458E0,1.233435059E-1,3.555107117E-1,9.784852295E0,9.792085371E0
2.786631458E0,1.231938171E-1,3.601510620E-1,9.791737976E0,9.799133538E0
2.796677458E0,1.248403931E-1,3.727249146E-1,9.774523773E0,9.782424238E0
2.806722458E0,1.115180969E-1,3.653901672E-1,9.806407471E0,9.813846022E0
2.816767458E0,9.864486694E-2,3.719764709E-1,9.792336731E0,9.799895712E0
2.826813458E0,1.145118713E-1,3.736230469E-1,9.779014435E0,9.786819221E0
2.836858458E0,1.089733887E-1,3.791615295E-1,9.799072723E0,9.807011008E0
2.846904458E0,1.167572021E-1,3.863465881E-1,9.776469727E0,9.784797200E0
2.856949458E0,1.166075134E-1,3.872447205E-1,9.798324280E0,9.806666838E0
2.866995458E0,1.170565796E-1,3.875440979E-1,9.789642334E0,9.798009476E0
2.877040458E0,1.107696533E-1,3.827540588E-1,9.784253540E0,9.792363756E0
2.887086458E0,1.029858398E-1,3.758683777E-1,9.789492645E0,9.797247030E0
2.897131458E0,1.104702759E-1,3.725752258E-1,9.791288910E0,9.798997627E0
2.907177792E0,1.160087585E-1,3.746708679E-1,9.805509338E0,9.813350584E0
2.917222792E0,1.221459961E-1,3.686833191E-1,9.791588287E0,9.799288149E0
2.927267792E0,1.109193420E-1,3.552113342E-1,9.791139221E0,9.798208277E0
2.937313792E0,1.049317932E-1,3.737727356E-1,9.785001984E0,9.792700371E0
2.947358792E0,1.118174744E-1,3.643423462E-1,9.773326263E0,9.780754303E0
2.957404792E0,1.160087585E-1,3.788621521E-1,9.779762878E0,9.787786089E0
2.967449792E0,1.190025330E-1,3.787124634E-1,9.783654785E0,9.791704943E0
2.977495792E0,1.163081360E-1,3.817062378E-1,9.788145447E0,9.796275748E0
2.987540792E0,1.116677856E-1,3.746708679E-1,9.788145447E0,9.795950145E0
2.997586792E0,1.070274353E-1,3.794609070E-1,9.791737976E0,9.799672344E0
3.007631792E0,1.070274353E-1,3.863465881E-1,9.789193268E0,9.797398807E0
3.017676792E0,1.187031555E-1,3.788621521E-1,9.790091400E0,9.798138425E0
3.027722792E0,1.285826111E-1,3.623963928E-1,9.793085175E0,9.800631708E0
3.037767792E0,1.389111328E-1,3.683839417E-1,9.796677704E0,9.804585512E0
3.047813792E0,1.380130005E-1,3.632945251E-1,9.789193268E0,9.796904375E0
3.057858792E0,1.249900818E-1,3.556604004E-1,9.777667236E0,9.784931958E0
3.067904792E0,1.119671631E-1,3.661386108E-1,9.783205719E0,9.790694984E0
3.077949792E0,1.022373962E-1,3.917353821E-1,9.809550934E0,9.817901946E0
3.087995792E0,1.001417542E-1,3.957769775E-1,9.798473969E0,9.806975064E0
3.098040792E0,9.984237671E-2,3.754193115E-1,9.800419922E0,9.808115966E0
