"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.888130625E0,9.862540741E0,-1.998344421E0,2.595452728E0,1.039227911E1
2.898178625E0,9.321416016E0,-2.175575867E0,2.412682800E0,9.871320336E0
2.908225625E0,8.780890045E0,-2.122436371E0,2.105072479E0,9.275780090E0
2.918273625E0,8.479566650E0,-1.860930176E0,1.760189667E0,8.858012156E0
2.928320625E0,8.561296692E0,-1.544188843E0,1.876348114E0,8.899494507E0
2.938368625E0,8.813821564E0,-1.347348175E0,2.318528595E0,9.212728831E0
2.948416625E0,9.111702118E0,-1.374591522E0,2.752027130E0,9.616978250E0
2.958463625E0,9.555529175E0,-1.471889191E0,2.921325073E0,1.009993741E1
2.968511625E0,1.009201355E1,-1.534758453E0,2.960693207E0,1.062873112E1
2.978558625E0,1.063703018E1,-1.721719666E0,2.905458069E0,1.116030539E1
2.988606625E0,1.085407883E1,-2.005679169E0,3.309168549E0,1.152321017E1
2.998653625E0,1.042177780E1,-2.252066803E0,3.318598938E0,1.116684182E1
3.008701625E0,9.743089142E0,-2.270478516E0,3.076103210E0,1.046638761E1
3.018748625E0,9.117240601E0,-2.112257538E0,2.765648804E0,9.758817622E0
3.028796625E0,8.821904755E0,-2.044897614E0,2.630330200E0,9.430071405E0
3.038843625E0,8.958720245E0,-2.094743958E0,2.922672272E0,9.653426018E0
3.048891625E0,9.090596008E0,-2.023641815E0,3.145558777E0,9.829984842E0
3.058938625E0,9.177415466E0,-1.891915741E0,3.173101501E0,9.893071967E0
3.068986625E0,9.392817535E0,-1.749262390E0,3.159030762E0,1.006302219E1
3.079033625E0,9.725575562E0,-1.682052155E0,2.945424957E0,1.030007998E1
3.089081625E0,1.012524445E1,-1.662442932E0,2.994971924E0,1.068897322E1
3.099128625E0,1.012793884E1,-2.006726990E0,3.065774689E0,1.077037942E1
3.109176625E0,9.655221863E0,-2.317181396E0,2.865640869E0,1.033462803E1
3.119224625E0,9.169781342E0,-2.252216492E0,2.325563965E0,9.724485422E0
3.129271625E0,8.764424286E0,-1.989961853E0,1.958527222E0,9.198418892E0
3.139319625E0,8.388106842E0,-1.807640991E0,1.804048462E0,8.768266260E0
3.149366625E0,8.175848236E0,-1.808838501E0,1.751058655E0,8.554682783E0
3.159414625E0,8.475375366E0,-2.022893372E0,1.827549591E0,8.903034466E0
3.169461625E0,9.116791534E0,-2.199825439E0,2.059716797E0,9.601955693E0
3.179509625E0,9.861642609E0,-2.230062561E0,2.132764893E0,1.033314376E1
3.189556625E0,1.058209442E1,-2.283501434E0,2.404449921E0,1.108947612E1
3.199604625E0,1.091530151E1,-2.356699219E0,2.414628754E0,1.142489695E1
3.209651625E0,1.087144272E1,-2.302960968E0,2.478396149E0,1.138570786E1
3.219699625E0,1.030966095E1,-2.277364197E0,2.567161560E0,1.086580945E1
3.229746625E0,9.455686798E0,-2.160457306E0,2.386786652E0,9.988710583E0
3.239794625E0,8.692723389E0,-1.955832825E0,2.204914856E0,9.178800111E0
3.249841625E0,8.090825043E0,-1.868863678E0,2.347717896E0,8.629361543E0
3.259889625E0,7.683971100E0,-1.970652008E0,2.505789185E0,8.319005989E0
3.269936625E0,7.621101837E0,-2.111658783E0,2.759212189E0,8.375771483E0
